<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Moie Fano (49.41722, -2.36611) <END>
<START:location> Тимошівка (47.72134, 35.92021) <END>
<START:location> Плетеніце (49.62074, 24.65818) <END>
<START:location> Ново-Михайлівка (47.55, 38.05) <END>
<START:location> Бугор (52.03334, 33.97543) <END>
<START:location> Полтва (49.87033, 24.49572) <END>
<START:location> Погулянка (51.82099, 25.11709) <END>
<START:location> Le Trepied (49.46, -2.64194) <END>
<START:location> Сергіївка (46.30199, 34.16742) <END>
<START:location> Демидівський район (50.44302, 25.29061) <END>
<START:location> Починово (48.95, 36.78333) <END>
<START:location> Урочище Байрак (50.14855, 36.15792) <END>
<START:location> Добромисль (48.98333, 25.08333) <END>
<START:location> Sylne (51.38093, 24.01442) <END>
<START:location> Станція Довге (48.36667, 23.26667) <END>
<START:location> Baibuha (45.05067, 35.3875) <END>
<START:location> Піски (47.1357, 31.85249) <END>
<START:location> Старі Мости (50.23333, 24.13333) <END>
<START:location> Озеро Ворониця (52.06406, 32.19321) <END>
<START:location> Затишшя (47.33497, 29.87797) <END>
<START:location> Саки (45.14491, 33.59834) <END>
<START:location> Вишнева (49.49301, 37.10446) <END>
<START:location> Долинка (45.86176, 33.94098) <END>
<START:location> Vytule (51.79587, 25.16053) <END>
<START:location> Сельское-Возрождение (49.50389, 37.06111) <END>
<START:location> Тетерівка (49.2475, 30.21907) <END>
<START:location> Hurtove (47.35336, 34.7289) <END>
<START:location> Григорівка (47.69048, 31.72648) <END>
<START:location> Смоляри (51.33333, 25.16667) <END>
<START:location> Караєвичі (50.70231, 26.15876) <END>
<START:location> Слобідка (49.28489, 26.56072) <END>
<START:location> Писарівка (49.58705, 24.8248) <END>
<START:location> Новодачне (48.59009, 39.01245) <END>
<START:location> Riwna (48.7992, 22.80972) <END>
<START:location> Мар'ївка (49.39499, 36.07315) <END>
<START:location> Сімферополь ЧАЙКА-передавач, Кільцева щогла 2 (44.89015, 33.87537) <END>
<START:location> Мостище (49.06771, 24.34034) <END>
<START:location> Іваномишль (51.58373, 25.11352) <END>
<START:location> Derekoy (44.5, 34.16961) <END>
<START:location> Троянка (48.65302, 32.77051) <END>
<START:location> Водяне (48.57869, 34.12092) <END>
<START:location> Новий Завод (50.3123, 28.25795) <END>
<START:location> Низи (50.77272, 34.76513) <END>
<START:location> Тернуватка (49.05718, 35.80778) <END>
<START:location> Стара Осота (49.01685, 32.27134) <END>
<START:location> Урочище Грицькові Гори (51.48292, 27.17009) <END>
<START:location> Березянка (49.69159, 29.45688) <END>
<START:location> La Grande Greve (49.42306, -2.38083) <END>
<START:location> Виповзів (50.93543, 30.79314) <END>
<START:location> Чернщина (49.52666, 34.13654) <END>
<START:location> Ново Григорівка (47.33333, 36.28333) <END>
<START:location> Пирогівка (51.91349, 33.29347) <END>
<START:location> Приморське (45.51761, 29.60528) <END>
<START:location> Єнакієве (48.2166667, 38.2) <END>
<START:location> Жолчув (49.35, 24.71667) <END>
<START:location> Yelne (51.45322, 27.134) <END>
<START:location> Мощаниця (50.41169, 26.64305) <END>
<START:location> Жеребець (48.9399, 38.05248) <END>
<START:location> Велика Губщина (49.71633, 35.57866) <END>
<START:location> Переспа (50.40169, 24.4398) <END>
<START:location> Мала Рохан (49.93784, 36.4894) <END>
<START:location> Петрики (51.72279, 30.8246) <END>
<START:location> Гутище (49.92123, 24.94493) <END>
<START:location> Байдакове (48.82702, 33.3622) <END>
<START:location> Придеснянське (51.62246, 32.96878) <END>
<START:location> Вовкове (48.23012, 37.08063) <END>
<START:location> Подільська Возвишенність (49.16667, 27) <END>
<START:location> Глинівці (50.04805, 28.81521) <END>
<START:location> Андріївка (48.71647, 36.31519) <END>
<START:location> Яр Красний (50.11972, 37.51639) <END>
<START:location> Вулиця Набережна (50.06373, 26.62295) <END>
<START:location> Езюрко (51.63333, 25.03333) <END>
<START:location> Піщаний (49.22889, 36.61972) <END>
<START:location> Сокільники (48.66085, 32.64313) <END>
<START:location> Бахва (49.24363, 30.21048) <END>
<START:location> Рудка (51.29467, 24.75632) <END>
<START:location> Боровенька (49.27306, 37.96167) <END>
<START:location> Siren’ (44.70241, 33.79727) <END>
<START:location> Родниківка (48.79812, 30.22957) <END>
<START:location> Калинівка (49.95, 24.01667) <END>
<START:location> Stantsiia Zaoskillia (49.70816, 37.63698) <END>
<START:location> Знесенє (49.85, 24.05) <END>
<START:location> Петрівка (50.32689, 35.90541) <END>
<START:location> Єленівський (47.74333, 38.14222) <END>
<START:location> Столбове (45.3627, 33.49584) <END>
<START:location> Трепівка (48.68686, 32.36326) <END>
<START:location> Настасівка (49.84715, 33.15315) <END>
<START:location> Грем'яче (50.36803, 26.41461) <END>
<START:location> Москаленки (49.44885, 32.51292) <END>
<START:location> Іванівка (47.46913, 33.37997) <END>
<START:location> Калинівка (45.31658, 35.74643) <END>
<START:location> Вулиця Антоновича (50.76334, 29.26815) <END>
<START:location> Нові Безрадичі (50.18915, 30.58676) <END>
<START:location> Бориспільська Міська Крада (50.35709, 30.96415) <END>
<START:location> Велика Кам'янка (48.64999, 25.10252) <END>
<START:location> Великий Черевач (51.21667, 30.13333) <END>
<START:location> Низи (50.78281, 34.78441) <END>
<START:location> Світле (45.6332, 34.66264) <END>
<START:location> Свято-Олександро-Невський Храм (46.46459, 30.75189) <END>
<START:location> Ужачин (50.62677, 27.7555) <END>
<START:location> Лебедине (48.10831, 32.5915) <END>
<START:location> Тягинка (46.75515, 33.05065) <END>
<START:location> Захарівське (48.95072, 36.12242) <END>
<START:location> Озеро Сацьке (45.1238, 33.56481) <END>
<START:location> Озеро Янхул (46.0854, 33.8461) <END>
<START:location> Нове Життя (47.74986, 33.55275) <END>
<START:location> Червоне (50.55441, 33.93031) <END>
<START:location> Водяне (48.6307, 36.45217) <END>
<START:location> Ферма троянд (49.71066, -2.21958) <END>
<START:location> Високе (50.2849, 35.02909) <END>
<START:location> Петрівка (48.86863, 36.87671) <END>
<START:location> Первомайськ (46.63333, 33.75) <END>
<START:location> Довгалівка (49.89477, 26.27158) <END>
<START:location> Мукільськ (50.12949, 28.26154) <END>
<START:location> Tamaryne (47.01875, 33.00243) <END>
<START:location> Голубівка (49.32036, 37.43142) <END>
<START:location> Дубшари (48.84437, 24.09391) <END>
<START:location> Іванівка (48.86873, 32.90069) <END>
<START:location> Клепачі (50.07494, 32.96943) <END>
<START:location> Анастасіївка (47.31667, 33.96667) <END>
<START:location> Привітне (50.82383, 29.40584) <END>
<START:location> Жденівка (48.75, 23.01667) <END>
<START:location> Волковці (49.91098, 26.39253) <END>
<START:location> Царське Село (50.77102, 29.26887) <END>
<START:location> Привороки (48.10648, 26.03536) <END>
<START:location> 1-й провулок Злагоди (50.79962, 29.26974) <END>
<START:location> Ферма Святої Катерини (49.46917, -2.55111) <END>
<START:location> Завозів (50.51862, 26.5794) <END>
<START:location> Havre de Bon Repos (49.41722, -2.61583) <END>
<START:location> Зелений Дуб (46.81667, 32.48333) <END>
<START:location> Sylne (50.9054, 25.79661) <END>
<START:location> Піщане (49.56723, 37.8322) <END>
<START:location> Зелений Гай (47.31552, 36.48484) <END>
<START:location> Совхоз імені Петровського (48.28333, 38.96667) <END>
<START:location> Шумськ (50.18637, 28.55115) <END>
<START:location> Балабанівка (48.77326, 27.3866) <END>
<START:location> Човно-Федорівка (50.00057, 34.43207) <END>
<START:location> Степовий (50.32889, 35.58083) <END>
<START:location> Kysle (49.75488, 36.02516) <END>
<START:location> Дмитренки (49.70556, 35.69629) <END>
<START:location> Соловійка (48.61472, 33.3147) <END>
<START:location> Осещина (50.57638, 30.54886) <END>
<START:location> Юрове (51.36084, 27.83255) <END>
<START:location> Нова Миронівка (49.63547, 31.12808) <END>
<START:location> Шпаківка (49.99497, 36.00217) <END>
<START:location> Шульганівка (48.95615, 25.71824) <END>
<START:location> Нова Оржиця (50.38093, 31.94663) <END>
<START:location> Боршягівка (50.43628, 30.40107) <END>
<START:location> Verbove (48.30747, 35.36884) <END>
<START:location> Скалат (49.42544, 25.97598) <END>
<START:location> Глодове (47.05741, 36.90542) <END>
<START:location> Красная Зоря (44.75319, 33.71867) <END>
<START:location> Станція Лозова (48.89196, 36.317) <END>
<START:location> Паньківці (49.53757, 27.4907) <END>
<START:location> Даченське (48.21364, 37.2219) <END>
<START:location> Могила Князя Лева Даниловича (49.39636, 22.88226) <END>
<START:location> Privetnoye (45.11969, 35.0596) <END>
<START:location> Писарівщина (49.85611, 34.62646) <END>
<START:location> Бабичі (49.67052, 34.1715) <END>
<START:location> Семенів (49.2805, 25.67468) <END>
<START:location> Середнє (47.04263, 33.96757) <END>
<START:location> Плоскоярський (49.34, 36.56917) <END>
<START:location> Станція Осиково (49.96667, 28.6) <END>
<START:location> Щітки (49.19918, 28.59233) <END>
<START:location> Єлизаветпіль (50.61012, 28.02598) <END>
<START:location> Муроване (50.40837, 24.10964) <END>
<START:location> Верхня Мануйлівка (49.34775, 33.72692) <END>
<START:location> Новоподілля (46.97178, 31.47935) <END>
<START:location> Нова Борова (50.69296, 28.63446) <END>
<START:location> Санаторій Чайка (45.16201, 33.29391) <END>
<START:location> Бухуни (49.80096, 33.97155) <END>
<START:location> Бучачки (48.53693, 25.29314) <END>
<START:location> Якименки (50.94339, 33.68529) <END>
<START:location> Заставне (50.59628, 24.26973) <END>
<START:location> Бакчалія (45.66667, 29.5) <END>
<START:location> Кути (50.15763, 24.89605) <END>
<START:location> Андріївка (47.09351, 36.58949) <END>
<START:location> Павленки (49.69882, 33.39646) <END>
<START:location> Нивна (50.34781, 27.74501) <END>
<START:location> Озеро Горєле (49.64, 36.53806) <END>
<START:location> Мирне (49.45821, 28.72549) <END>
<START:location> Новокриворіжжя (48.4882, 36.89552) <END>
